City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Namatanai,PG,2020-02-21 06:51:29,-3.67,152.43,84.18,74,0,13.91
260,Chinsali,ZM,2020-02-21 06:51:30,-10.54,32.08,69.33,92,82,4.0
261,Pandan Niog,PH,2020-02-21 06:51:30,6.23,120.56,79.79,80,45,15.21
262,Mataquescuintla,GT,2020-02-21 06:51:30,14.53,-90.18,60.8,87,16,13.87
263,Nanakuli,US,2020-02-21 06:51:31,21.39,-158.15,73.4,73,75,8.05
264,Loukhi,RU,2020-02-21 06:51:31,66.08,33.04,21.51,88,100,14.47
265,Port Hardy,CA,2020-02-21 06:51:31,50.7,-127.42,37.4,86,75,4.7
266,Shimoda,JP,2020-02-21 06:51:31,34.67,138.95,55.4,54,20,2.24
267,Klaksvik,FO,2020-02-21 06:51:32,62.23,-6.59,41.0,86,83,27.51
268,Kinsale,IE,2020-02-21 06:51:32,51.71,-8.53,48.0,81,75,20.8
269,Forbes,AU,2020-02-21 06:51:33,-33.38,148.02,82.0,25,29,1.01
270,Tuktoyaktuk,CA,2020-02-21 06:51:33,69.45,-133.04,1.4,77,90,4.7
271,Moree,AU,2020-02-21 06:51:33,-29.47,149.85,89.6,21,9,2.24
272,Naze,JP,2020-02-21 06:51:34,28.37,129.48,69.8,52,20,8.05
273,Gagra,GE,2020-02-21 06:51:34,43.33,40.22,50.0,71,90,4.47
274,San,ML,2020-02-21 06:47:23,13.3,-4.9,70.9,15,42,7.31
275,Palmer,US,2020-02-21 06:51:34,42.16,-72.33,21.2,48,1,4.7
276,Vila Velha,BR,2020-02-21 06:47:39,-20.33,-40.29,80.6,74,4,10.29
277,Portland,US,2020-02-21 06:51:05,45.52,-122.68,46.4,56,1,3.31
278,Tasiilaq,GL,2020-02-21 06:47:46,65.61,-37.64,17.6,78,100,3.36
279,Erenhot,CN,2020-02-21 06:51:36,43.65,111.98,19.74,66,10,18.54
280,Ormara,PK,2020-02-21 06:51:36,25.21,64.64,73.58,64,100,18.14
281,Carutapera,BR,2020-02-21 06:51:36,-1.2,-46.02,77.18,87,100,7.74
282,Lanzhou,CN,2020-02-21 06:47:03,36.06,103.79,37.4,25,0,4.47
283,Dhanera,IN,2020-02-21 06:51:37,24.52,72.02,83.03,14,0,14.5
284,Nichinan,JP,2020-02-21 06:51:37,31.6,131.37,60.8,62,40,8.05
285,Obama,JP,2020-02-21 06:51:37,35.5,135.75,60.01,35,0,1.83
286,Poum,NC,2020-02-21 06:51:37,-20.23,164.02,81.14,77,22,13.38
287,Seydi,TM,2020-02-21 06:51:38,39.48,62.91,51.64,80,100,10.67
288,Biltine,TD,2020-02-21 06:51:38,14.53,20.92,69.12,22,40,11.34
289,Muros,ES,2020-02-21 06:48:17,42.78,-9.06,51.01,100,31,5.82
290,Iqaluit,CA,2020-02-21 06:51:38,63.75,-68.51,-38.0,65,20,12.75
291,Eyemouth,GB,2020-02-21 06:51:39,55.87,-2.09,43.0,81,100,16.11
292,Ca Mau,VN,2020-02-21 06:51:39,9.18,105.15,94.42,35,6,18.3
293,Kihei,US,2020-02-21 06:51:39,20.79,-156.47,71.6,68,1,14.99
294,Codrington,AU,2020-02-21 06:51:39,-38.27,141.97,58.37,68,28,13.96
295,Kutum,SD,2020-02-21 06:51:40,14.2,24.67,59.97,26,42,4.9
296,Joue-Les-Tours,FR,2020-02-21 06:51:40,47.35,0.67,33.8,100,44,3.36
297,Santa Cruz Cabralia,BR,2020-02-21 06:48:30,-16.28,-39.02,77.0,88,75,2.24
298,Nicoya,CR,2020-02-21 06:51:40,10.15,-85.45,80.6,65,30,18.34
299,Dingle,PH,2020-02-21 06:51:41,11.0,122.67,79.12,78,72,18.05
300,Soyaniquilpan,MX,2020-02-21 06:51:41,19.98,-99.5,53.73,81,61,5.12
301,Talnakh,RU,2020-02-21 06:51:41,69.49,88.4,12.2,92,97,4.47
302,Tomatlan,MX,2020-02-21 06:51:41,19.93,-105.25,68.59,68,75,1.97
303,Bambous Virieux,MU,2020-02-21 06:51:42,-20.34,57.76,82.4,69,20,11.41
304,Puerto Madryn,AR,2020-02-21 06:51:42,-42.77,-65.04,49.33,79,0,9.08
