City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
228,Tiarei,PF,84.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
229,Basco,PH,74.32,light rain,20.45,121.97,Nathaniel's Lodge
234,Sao Felipe,BR,83.32,light rain,-14.82,-41.38,
236,Dekar,BW,70.27,moderate rain,-21.53,21.93,
244,Copiapo,CL,75.2,clear sky,-27.37,-70.33,Antay Casino Hotel
246,Port-Gentil,GA,82.4,few clouds,-0.72,8.78,Fengshui Residence
247,Cabo San Lucas,MX,84.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
248,Benalla,AU,71.01,overcast clouds,-36.55,145.98,Rose City Motor Inn
251,Dingle,PH,72.12,light rain,11.0,122.67,Camp Pasica
255,Yangambi,CD,81.88,scattered clouds,0.81,24.43,
256,Poum,NC,80.62,scattered clouds,-20.23,164.02,Gîte kajeon
259,Phangnga,TH,80.6,few clouds,8.45,98.53,Muang Thong Hotel
